genome_name,styled_genome_name
Cac_ATCC_49725,<b>Cac_ATCC_49725</b>
Cac_KPL3832,Cac_KPL3832 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL3921,Cac_KPL3921 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL1818,Cac_KPL1818 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL2617,Cac_KPL2617 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL2652,Cac_KPL2652 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL2859,Cac_KPL2859 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL2618,Cac_KPL2618 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL4065,Cac_KPL4065 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL2783,Cac_KPL2783 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL3802,Cac_KPL3802 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL2660,Cac_KPL2660 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL3647,Cac_KPL3647 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_MSK273,Cac_MSK273 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cac_KPL2641,Cac_KPL2641 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL3926,Cac_KPL3926 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL1824,Cac_KPL1824 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_MSK079,Cac_MSK079 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL3774,Cac_KPL3774 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_MSK096,Cac_MSK096 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cac_KPL1996,Cac_KPL1996 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL4034,Cac_KPL4034 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL4075,Cac_KPL4075 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL3970,Cac_KPL3970 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Ctu_KPL3807,Ctu_KPL3807 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Ctu_MSK207,Ctu_MSK207 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Ctu_SK141,Ctu_SK141
Ctu_DSM_44922,<b>Ctu_DSM_44922</b>
Ctu_MSK158,Ctu_MSK158 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Ctu_MSK074,Ctu_MSK074 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Ctu_MSK195,Ctu_MSK195 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Ctu_MSK150,Ctu_MSK150 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Dpi_ATCC_51524,<b>Dpi_ATCC_51524</b>
Dpi_KPL1914,Dpi_KPL1914
Dpi_KPL1931_CDC4294_98,Dpi_CDC_4294-98
Dpi_KPL3077,Dpi_KPL3077
Dpi_KPL1932_CDC4420_98,Dpi_CDC_4420-98
Dpi_KPL1938_CDC4791_99,Dpi_CDC_4791-99
Dpi_KPL3050,Dpi_KPL3050
Dpi_KPL3274,Dpi_KPL3274
Dpi_KPL1937_CDC4199_99,Dpi_CDC_4199-99
Dpi_KPL3246,Dpi_KPL3246
Dpi_KPL3070,Dpi_KPL3070
Dpi_KPL3084,Dpi_KPL3084
Dpi_KPL3911,Dpi_KPL3911
Dpi_KPL3043,Dpi_KPL3043
Dpi_KPL3065,Dpi_KPL3065
Dpi_KPL3090,Dpi_KPL3090
Dpi_KPL3052,Dpi_KPL3052
Dpi_KPL3069,Dpi_KPL3069
Dpi_KPL1930_CDC2949_98,Dpi_CDC_2949-98
Dpi_KPL1933_CDC4545_98,Dpi_CDC_4545-98
Dpi_KPL3033,Dpi_KPL3033
Dpi_KPL3256,Dpi_KPL3256
Dpi_KPL3264,Dpi_KPL3264
Dpi_KPL1922_CDC39_95,Dpi_CDC39-95
Dpi_KPL1934_CDC4709_98,Dpi_CDC_4709-98
Dpi_KPL1939_CDC4792_99,Dpi_CDC_4792-99
Dpi_KPL3250,Dpi_KPL3250
